id,subdomain,date,year,mon_day,event,spot,spot_id,desc,link,more_text,note,note1,note2,note3,note4
7,salem,,2026,[mmdd],NATURAL COOLING,SALEM-7,7,"4000 trees planted in 5 years across Salem, increasing tree canopy, reducing heat and cooling needs.",,"To offset warmer temperatures caused by climate change, initiatives to plant a significant number of new trees helped reduce the urban heat island effect. This effect, which is defined as the difference between urban and rural air temperature, is attributed to direct sun exposure of impervious surfaces. In addition to shading the built environment and its inhabitants, trees fight climate change by removing carbon dioxide from the air, storing carbon both in trees and soil, and producing oxygen. (1)","(1) Arbor Day Foundation, Trees Help Fight Climate Change
https://www.arborday.org/trees/climatechange/#:~:text=As%20trees%20grow%2C%20they%20help,benefits%20to%20us%2C%20every%20day. 2400 New Trees to be Planted https://www.salemma.gov/sites/g/files/vyhlif7986/f/news/03_24_2021_greening_the_gateway_cities_release.pdf
 ","(1) Arbor Day Foundation, Trees Help Fight Climate Change
https://www.arborday.org/trees/climatechange/#:~:text=As%20trees%20grow%2C%20they%20help,benefits%20to%20us%2C%20every%20day.
","2400 New Trees to be Planted https://www.salemma.gov/sites/g/files/vyhlif7986/f/news/03_24_2021_greening_the_gateway_cities_release.pdf
",,
5,salem,,2027,[mmdd],CHARGING UP,SALEM-5,5,Vehicle charging stations installed here as Salem’s fleet transitions to 100% electric vehicles.,,"Having set a goal of a 100% electric municipal fleet by 2030, (1) the city initiated installing the charging infrastructure that would be necessary to support it. Since pioneering the installation EV charging stations in 2012, the city was well positioned to expand to additional locations to serve the fleet as well as the rapidly increasing number of residents’ electric vehicles.","(1) Resilient Together, p. 13
https://kladashboard-clientsourcefiles.s3.amazonaws.com/Beverly-Salem/Resilient+Together+Climate+Action+Plan+Final.pdf
","(1) Resilient Together, p. 13
https://kladashboard-clientsourcefiles.s3.amazonaws.com/Beverly-Salem/Resilient+Together+Climate+Action+Plan+Final.pdf
",,,
3,salem,,2030,[mmdd],PED POWER,SALEM-3,3,This multiuse path completed from Salem through Peabody and beyond to provide a route for zero-carbon alternative transportation.,,"Multiuse paths and trails not only enable people to depend less on motor vehicles and thereby reduce greenhouse gas emissions, they change the fabric of their communities by connecting neighborhoods, increasing mobility, improving health, spurring economic development and supporting vibrant social interactions.","Rails-to-Trails Conservancy
https://www.railstotrails.org/our-work/research-and-information/","Rails-to-Trails Conservancy
https://www.railstotrails.org/our-work/research-and-information/
",,,
19,salem,,2031,Sep 30,VISIT FROM THE SEA ,SALEM-NPS2,NPS2,First time Derby House yard flooded by storm surge.,,"Storm surge is an abnormal rise of water generated by a storm, over and above the predicted astronomical tide. The destructive power of storm surge and large battering waves is often the greatest threat to life and property during a storm, and can result in loss of life, destroyed buildings, beach and dune erosion, and road and bridge damage along the coast (1). The continual rise in sea level has provided a higher base on which storm surge accumulates and tropical storms became slower-moving, which resulted in rain, wind, and storm surge persisting over multiple tidal cycles, thus causing more damage. In addition to tropical storms and hurricanes, nor’easters are intense storms that develop from low pressure centers that derive their energy from the strong temperature gradients that commonly occur just off the U.S. East Coast during winter. They move along the coast of Massachusetts with wind blowing across the Atlantic Ocean from the northeast, directly onto the shore (2).
","(1) Hurricane Evacuation Zones https://www.mass.gov/info-details/hurricane-evacuation-zones
(2) Woods Hole Sea Grant, Homeowner’s Handbook (2020), p. 18 https://seagrant.whoi.edu/wp-content/uploads/2020/07/MA-Homeowners-Handbook-2020-1.pdf
Massachusetts Sea Level Rise and Coastal Storm Viewer – Hurricane Surge https://www.mass.gov/service-details/massachusetts-sea-level-rise-and-coastal-flooding-viewer
","(1) Hurricane Evacuation Zones
https://www.mass.gov/info-details/hurricane-evacuation-zones
","(2) Woods Hole Sea Grant, Homeowner’s Handbook (2020), p. 18
https://seagrant.whoi.edu/wp-content/uploads/2020/07/MA-Homeowners-Handbook-2020-1.pdf
","Massachusetts Sea Level Rise and Coastal Storm Viewer – Hurricane Surge
https://www.mass.gov/service-details/massachusetts-sea-level-rise-and-coastal-flooding-viewer
",
20,salem,,2031,SUMMER,WHARF RISING,SALEM-NPS3,NPS3,"Seawalls raised, elevating Derby Wharf two feet, to prevent flooding due to increasing height of daily tides and escalating height of storm surge.",,"Construction of Derby Wharf began in 1762. In 2018, after the worst flooding in 50 years and damage from multiple storms, the wharf was closed for more than a month of extensive repairs. Subsequently, plans were developed to raise the height of the wharf above projected sea level rise and the corresponding increases in storm surge. The mission of the National Park Service is to preserve historic structures as long as possible. ","Derby Wharf – Resiliency on Salem’s Maritime Waterfront
https://vimeo.com/601973967
","Derby Wharf – Resiliency on Salem’s Maritime Waterfront
https://vimeo.com/601973967
",,,
13,salem,,2050,[mmdd],CLIMATE REFUGEES,SALEM-SSU3,SSU3,Salem State students urge UN’s COP 55 meeting to address the expected 1.2 billion climate refugees. ,,"Many of the anticipated impacts of climate change are taking a devastating toll on human populations across the globe, forcing a continual mass migration. A study by The Institute for Economics and Peace found that 1.2 billion people in 31 countries are particularly vulnerable to displacement by 2050 (1).  
Students at high schools, colleges and universities around the globe have been leading the charge to press politicians to address climate change impacts and to develop a comprehensive global solution to the crisis of climate refugees. Salem State University students have been very vocal and visible in urging that political solutions be adopted immediately.","(1) Climate Crisis Could Displace 1.2 billion
https://www.theguardian.com/environment/2020/sep/09/climate-crisis-could-displace-12bn-people-by-2050-report-warns Climate Change Could Force 216 Million to Migrate within Their own Countries https://www.worldbank.org/en/news/press-release/2021/09/13/climate-change-could-force-216-million-people-to-migrate-within-their-own-countries-by-2050
","(1) Climate Crisis Could Displace 1.2 billion
https://www.theguardian.com/environment/2020/sep/09/climate-crisis-could-displace-12bn-people-by-2050-report-warns
","Climate Change Could Force 216 Million to Migrate within Their own Countries
https://www.worldbank.org/en/news/press-release/2021/09/13/climate-change-could-force-216-million-people-to-migrate-within-their-own-countries-by-2050
",,
8,salem,,2053,[mmdd],KEEPING COOL,SALEM-8,8,Salem emergency cooling shelter opened to help community manage 20th day over 1000.,,"Climate change increased Salem’s summer temperatures with serious effects on human health and comfort. To stay cool in dangerous heat, residents without air conditioning needed to rely on cooling centers created by the city.","Climate Ready Boston, 2016, p. 11
https://www.boston.gov/sites/default/files/file/2019/12/02_20161206_executivesummary_digital.pdf NOAA Annual 2021 Global Climate Report
https://www.ncei.noaa.gov/access/monitoring/monthly-report/global/202113
","Climate Ready Boston, 2016, p. 11
https://www.boston.gov/sites/default/files/file/2019/12/02_20161206_executivesummary_digital.pdf
","NOAA Annual 2021 Global Climate Report
https://www.ncei.noaa.gov/access/monitoring/monthly-report/global/202113
",,
14,salem,,2053,[mmdd],KEEPING IT COOL,SALEM-SSU4,SSU4,O’Keefe Complex opens as a cooling shelter to help community manage 20th day over 100°.,,"Climate change caused global temperatures to increase with serious effects on human health and comfort (1). To stay cool in dangerous heat, people turn to cooling centers and wider use of air conditioning. However, the most devastating impacts are being felt by those who must work outdoors or in hot temperatures and those who cannot access air conditioning. Salem State Geography and Sustainability Professor Steve Young studied temperature change in New England from 1900-2020 and found that air temperatures in New England are rising rapidly and have already risen approximately 2 degrees Celsius, increasing much faster than the global average in the past 60 years. 
","(1) Climate Ready Boston (2016), p. 11
https://www.boston.gov/sites/default/files/file/2019/12/02_20161206_executivesummary_digital.pdf
Overall Warming with Reduced Seasonality: Temperature Change in New England, USA, 1900-2020 (2021) https://www.mdpi.com/2225-1154/9/12/176/htm
","(1) Climate Ready Boston (2016), p. 11
https://www.boston.gov/sites/default/files/file/2019/12/02_20161206_executivesummary_digital.pdf
","Overall Warming with Reduced Seasonality: Temperature Change in New England, USA, 1900-2020 (2021) https://www.mdpi.com/2225-1154/9/12/176/htm
 ",,
18,salem,,2070,Dec 17,SHORELINE ENCROACHES,SALEM-NPS1,NPS1,Daily normal high tide first reaches Derby Street.,,"Accelerated rates of global, or eustatic, sea level change are driven principally by increases in the volume of the ocean from two primary factors: thermal expansion and melting ice sheets. Steady increases in global atmospheric temperature served to expand sea water molecules, which increased ocean volume. Increased global temperatures also resulted in the melting of glaciers and continental ice masses—such as the Greenland ice sheet that covered terrestrial areas, not ice‐covered ocean as in the Arctic—which contributed significant amounts of freshwater input to the Earth's oceans (1).  ","(1) Sea Level Rise: Understanding and Applying Trends and Future Scenarios for Analysis and Planning (2013), p. 1-4 https://www.mass.gov/files/documents/2016/08/vp/slr-guidance-2013.pdf
Climate Ready Boston (2016), p. 11 https://www.boston.gov/sites/default/files/file/2019/12/02_20161206_executivesummary_digital.pdf
Salem—Mapping Future Flood Risk (2020) https://www.salemsound.org/PDF/Derby%20NPS%20SouthRiver_MC_FRM.pdf
How Does the Climate Crisis Affect New England? https://www.climaterealityproject.org/blog/how-does-climate-crisis-affect-new-england
","(1) Sea Level Rise: Understanding and Applying Trends and Future Scenarios for Analysis and Planning (2013), p. 1-4
https://www.mass.gov/files/documents/2016/08/vp/slr-guidance-2013.pdf
","Climate Ready Boston (2016), p. 11
https://www.boston.gov/sites/default/files/file/2019/12/02_20161206_executivesummary_digital.pdf
","Salem—Mapping Future Flood Risk (2020)
https://www.salemsound.org/PDF/Derby%20NPS%20SouthRiver_MC_FRM.pdf
","How Does the Climate Crisis Affect New England?
https://www.climaterealityproject.org/blog/how-does-climate-crisis-affect-new-england
"
16,salem,,2086,[mmdd],MOSQUITOES ARRIVE,SALEM-SSU6,SSU6,Salem State nursing students see cases of malaria and dengue fever as Aedes Aegypti mosquitoes spread north.,,"Climate change continued to bring warmer temperatures to New England, allowing mosquitoes and other biting insects to spread to this area. This enabled the transmission of diseases such as malaria, dengue fever, chikungunya and West Nile virus to areas such as Salem, Massachusetts where they had not been seen. ","How Does Climate Change Affect Disease? (2019)
https://earth.stanford.edu/news/how-does-climate-change-affect-disease#gs.ex5i03
","How Does Climate Change Affect Disease? (2019)
https://earth.stanford.edu/news/how-does-climate-change-affect-disease#gs.ex5i03
",,,
